date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise_hhmm,sunrise_unixtime,sunrise_f,sunset_hhmm,sunset_unixtime,sunset_f,daylight,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2025-11-30,-9.1,-11.22,-11.85,-14.6,,-23,87,78,78,69,-11.7,-14.4,-14.4,-17.2,21,13.67,13,5,32,23,103.24,103.02,102.9,102.57,100.15,99.94,99.82,99.49,24100,22362.5,14450,4800,1.9,1.6,1.6,1.4,29.9,0,0,0,0,0,,,,08:03:00,1764511380,8.05,16:31:00,1764541860,16.52,8.47,,,-8,-8,-15,-15,6,,,,,8,4.7,4,0,,,,
2025-11-29,-5.6,-9.08,-10.19,-14.8,,-21,93,86.4,84.5,76,-7.1,-11,-11.2,-15.3,27,10.25,13.5,0,35,34,103.17,103.08,103.04,102.91,100.09,100.01,99.97,99.85,24100,13991.7,12650,1200,2.5,2,1.9,1.3,28.2,0,0,0,0,0.2,,,,08:02:00,1764424920,8.03,16:31:00,1764455460,16.52,8.48,,,-6,-6,-14,-10,6,,,,,8,6.9,5.5,3,,,,
2025-11-28,-6.9,-7.84,-8.19,-9.5,,-16,86,76.3,77,68,-10.4,-11.3,-11.3,-12.2,21,11.67,10.5,0,,,103.24,103.17,103.16,103.08,100.17,100.1,100.09,100.01,24100,21308.3,13050,2000,2.1,1.8,1.8,1.5,26.2,0,0,0,0,0,,,,08:01:00,1764338460,8.02,16:32:00,1764369120,16.53,8.52,,,-5,-5,-10,-10,4,,,,,8,7.4,4,0,,,,
2025-11-27,-3.2,-5.88,-5.9,-8.6,,-15,88,74.2,73,58,-7.3,-9.8,-9.9,-12.6,32,20.96,20.5,9,42,33,103.31,103.14,103.08,102.85,100.24,100.08,100.03,99.82,24100,20312.5,13050,2000,9,1.8,5.1,1.2,23.9,0,0,0,0,0,,,,07:59:00,1764251940,7.98,16:33:00,1764282780,16.55,8.57,,,-5,-3,-11,-10,2,,,,,8,7.5,6,4,,,,
2025-11-26,-2,-3.75,-3.9,-5.8,,-13,86,76,76.5,67,-6.6,-7.4,-7.4,-8.2,32,24.62,23,14,38,32,102.82,102.61,102.62,102.43,99.79,99.59,99.6,99.41,24100,24100,24100,24100,1.6,1.4,1.4,1.1,21.9,0,0,0,0,0,,,,07:58:00,1764165480,7.97,16:34:00,1764196440,16.57,8.6,1,1,-3,-1,-8,-8,3,,,,,8,8,8,8,,,,
2025-11-25,-2,-2.91,-3.25,-4.5,,-12,96,85.5,86,76,-3,-5,-5,-6.9,34,23.25,19.5,5,40,36,102.46,102.16,102.12,101.78,99.44,99.15,99.12,98.8,24100,23966.7,23300,22500,6,1.7,3.6,1.3,21.2,0,0,0,0,0,,,,07:56:00,1764078960,7.93,16:34:00,1764110040,16.57,8.63,,,-1,-1,-7,-7,0,,,,,8,7.9,7,6,,,,
2025-11-24,4,-1.88,-1.04,-6.1,,-11,97,86.7,79.5,62,-2.1,-3.9,-4,-6,17,11.96,11,5,,,101.81,101.56,101.45,101.09,98.83,98.59,98.5,98.16,24100,23966.7,23300,22500,2.1,1.7,1.6,1,19,0,0,0,0,0,,,,07:55:00,1763992500,7.92,16:35:00,1764023700,16.58,8.67,1,1,3,3,-4,-4,9,,,,,8,4.8,4,0,,,,
2025-11-23,10.1,2.74,3.55,-3,,-7,95,76.1,74.5,54,1.6,-1.3,-1.5,-4.6,31,15.79,17.5,4,33,17,101.48,101.07,101.12,100.76,98.53,98.12,98.18,97.84,24100,24100,24100,24100,3,1.6,2.1,1.2,14.4,0,0,0,0,0,,,,07:53:00,1763905980,7.88,16:36:00,1763937360,16.6,8.72,1,1,8,10,-4,-3,9,,,,,7,4.4,3.5,0,,,,
2025-11-22,7.5,1.97,2.75,-2,,-7,97,79.9,76,55,0.9,-1.3,-1.8,-4.4,41,19.5,23,5,46,31,101.46,101.02,101.03,100.6,98.5,98.07,98.08,97.66,24100,23766.7,20100,16100,2,1.8,1.7,1.4,15.2,0,0,0,0,0.2,,,,07:52:00,1763819520,7.87,16:37:00,1763851020,16.62,8.75,1,1,5,5,-2,-2,10,,,,,8,2.8,4,0,,,,
2025-11-21,2,-2.53,-3.34,-8.7,,-13,97,80.9,80,63,-2.4,-5.5,-5.5,-8.6,20,12.75,10,0,,,101.87,101.51,101.31,100.74,98.88,98.52,98.34,97.8,24100,24100,24100,24100,3.1,2.2,2.4,1.7,21.3,0,0,0,0,0,,,,07:50:00,1763733000,7.83,16:38:00,1763764680,16.63,8.8,1,1,1,1,-2,-2,11,,,,,8,4,4.5,1,,,,
